Route , Signal_start , Signal_end , Direction , netElements , switch , platform , LevelCrossings
R_01 , T02 , C25 , >> , ne01-ne02 , Sw01_N ,  , 
R_02 , T02 , B26 , >> , ne01-ne03 , Sw01_R ,  , 
R_03 , T04 , C21 , << , ne04-ne02 , Sw02_N ,  , 
R_04 , T04 , B22 , << , ne04-ne03 , Sw02_R ,  , 
R_05 , T06 , C33 , >> , ne05-ne06 , Sw03_N ,  , 
R_06 , T06 , B34 , >> , ne05-ne07 , Sw03_R ,  , 
R_07 , T08 , C29 , << , ne08-ne06 , Sw04_N ,  , 
R_08 , T08 , B30 , << , ne08-ne07 , Sw04_R ,  , 
R_09 , C21 , T01 , << , ne02-ne01 , Sw01_N ,  , 
R_10 , B22 , T01 , << , ne03-ne01 , Sw01_R ,  , 
R_11 , C25 , T03 , >> , ne02-ne04 , Sw02_N ,  , 
R_12 , B26 , T03 , >> , ne03-ne04 , Sw02_R ,  , 
R_13 , C29 , T05 , << , ne06-ne05 , Sw03_N ,  , 
R_14 , B30 , T05 , << , ne07-ne05 , Sw03_R ,  , 
R_15 , C33 , T07 , >> , ne06-ne08 , Sw04_N ,  , 
R_16 , B34 , T07 , >> , ne07-ne08 , Sw04_R ,  , 
