Route , Signal_start , Signal_end , Direction , netElements , switch , platform , LevelCrossings
R_01 , T02 , C78 , >> , ne1-ne1 ,  , Plat01 , 
R_02 , T06 , J43 , >> , ne7-ne7 ,  , Plat02 , 
R_03 , T08 , S146 , >> , ne14-ne52 , 69W04_N ,  , 
R_04 , T12 , L29 , >> , ne47-ne48 , 71W02_R ,  , 
R_05 , T14 , C100 , >> , ne84-ne32 , Sw04_R-Sw05_RR ,  , 
R_06 , T14 , S105 , >> , ne84-ne44 , Sw05_NR-Sw41_R ,  , 
R_07 , T20 , S97 , >> , ne89-ne30 , Sw12_N ,  , 
R_08 , T22 , S97 , >> , ne90-ne30 , Sw12_R-Sw13_R ,  , 
R_09 , T24 , P70 , << , ne105-ne96 ,  , Plat11 , 
R_10 , L25 , L42 , << , ne4-ne106 ,  ,  , 
R_11 , L27 , L30 , << , ne26-ne65 ,  ,  , 
R_12 , L28 , L40 , << , ne44-ne101 ,  ,  , 
R_13 , L30 , C104 , << , ne65-ne102 ,  ,  , 
R_14 , L32 , P73 , >> , ne70-ne21 ,  ,  , 
R_15 , L33 , L34 , >> , ne78-ne93 ,  ,  , 
R_16 , L34 , P71 , >> , ne93-ne96 ,  , Plat11 , 
R_17 , L35 , X50 , >> , ne95-ne95 ,  ,  , 
R_18 , L37 , S135 , << , ne97-ne94 ,  ,  , 
R_19 , L38 , T23 , >> , ne98-ne105 ,  ,  , 
R_20 , L40 , S139 , << , ne101-ne100 ,  ,  , 
R_21 , L41 , S90 , << , ne103-ne64 ,  ,  , 
R_22 , L42 , P68 , << , ne106-ne99 ,  , Plat10 , 
R_23 , J43 , J46 , >> , ne7-ne9 , 68W02_R ,  , 
R_24 , J46 , L35 , >> , ne9-ne95 ,  ,  , 
R_25 , X50 , S83 , >> , ne95-ne59 ,  ,  , Lc01
R_26 , X51 , S80 , << , ne95-ne9 ,  ,  , Lc01
R_27 , P60 , L27 , << , ne23-ne26 , 70W02_N ,  , 
R_28 , P63 , P64 , >> , ne24-ne67 ,  ,  , 
R_29 , P64 , L32 , << , ne67-ne70 ,  ,  , 
R_30 , P65 , L41 , >> , ne67-ne103 ,  ,  , 
R_31 , P68 , L37 , << , ne99-ne97 ,  ,  , 
R_32 , P69 , T03 , >> , ne99-ne4 ,  ,  , 
R_33 , P70 , S110 , << , ne96-ne78 ,  ,  , 
R_34 , P71 , L38 , >> , ne96-ne98 ,  ,  , 
R_35 , P72 , S144 , << , ne21-ne21 ,  ,  , 
R_36 , P73 , L33 , >> , ne21-ne78 , Sw06_R-Sw07_RN ,  , 
R_37 , P73 , P69 , >> , ne21-ne99 , Sw07_NN , Plat10 , 
R_38 , C78 , J46 , >> , ne1-ne9 , 68W02_N ,  , 
R_39 , S80 , T01 , << , ne9-ne1 , 68W02_N , Plat01 , 
R_40 , S80 , T05 , << , ne9-ne7 , 68W02_R , Plat02 , 
R_41 , C82 , X51 , << , ne17-ne95 , 69W03_N ,  , 
R_42 , S83 , S146 , >> , ne59-ne52 , 69W03_R-69W04_R ,  , 
R_43 , S83 , C109 , >> , ne59-ne17 , 69W03_N , Plat09 , 
R_44 , S86 , X51 , << , ne52-ne95 , 69W03_R-69W04_R ,  , 
R_45 , S86 , T07 , << , ne52-ne14 , 69W04_N ,  , 
R_46 , B89 , P64 , >> , ne23-ne67 ,  ,  , 
R_47 , S90 , P60 , << , ne64-ne23 , 70W01_R , Plat05 , 
R_48 , S90 , B92 , << , ne64-ne24 , 70W01_N ,  , 
R_49 , B92 , L27 , << , ne24-ne26 , 70W02_R , Plat06 , 
R_50 , S93 , B89 , >> , ne26-ne23 , 70W02_N ,  , 
R_51 , S93 , P63 , >> , ne26-ne24 , 70W02_R , Plat06 , 
R_52 , C95 , S122 , << , ne83-ne30 , Sw08_N ,  , 
R_53 , B96 , S122 , << , ne29-ne30 , Sw08_R ,  , 
R_54 , S97 , C138 , >> , ne30-ne110 , Sw08_R-Sw09_R ,  , 
R_55 , S97 , C114 , >> , ne30-ne83 , Sw08_N , Plat03 , 
R_56 , C100 , C138 , >> , ne32-ne110 , Sw09_N ,  , 
R_57 , B101 , B96 , << , ne29-ne29 ,  ,  , 
R_58 , S102 , S115 , << , ne110-ne32 , Sw09_N ,  , 
R_59 , S102 , B101 , << , ne110-ne29 , Sw09_R ,  , 
R_60 , C104 , L28 , << , ne102-ne44 , 71W01_N ,  , 
R_61 , S105 , L29 , >> , ne44-ne48 , 71W01_R-71W02_N ,  , 
R_62 , S105 , S93 , >> , ne44-ne26 , 71W01_N ,  , 
R_63 , C109 , L33 , >> , ne17-ne78 , Sw06_N ,  , 
R_64 , S110 , C82 , << , ne78-ne17 , Sw06_N , Plat09 , 
R_65 , S110 , B133 , << , ne78-ne77 , Sw06_R-Sw07_RR , Plat08 , 
R_66 , S110 , P72 , << , ne78-ne21 , Sw06_R-Sw07_RN , Plat12 , 
R_67 , C114 , C100 , >> , ne83-ne32 , Sw04_N ,  , 
R_68 , S115 , C95 , << , ne32-ne83 , Sw04_N , Plat03 , 
R_69 , S115 , P58 , << , ne32-ne41 , Sw04_R-Sw05_RN , Plat04 , 
R_70 , S115 , T13 , << , ne32-ne84 , Sw04_R-Sw05_RR ,  , 
R_71 , C118 , T15 , << , ne88-ne86 , Sw11_N ,  , 
R_72 , S119 , T17 , >> , ne86-ne88 , Sw11_N ,  , 
R_73 , S119 , S97 , >> , ne86-ne30 , Sw11_R-Sw12_R-Sw13_N ,  , 
R_74 , S122 , T19 , << , ne30-ne89 , Sw12_N ,  , 
