Route , Signal_start , Signal_end , Direction , netElements , switch , platform , LevelCrossings
R_75 , S122 , T15 , << , ne30-ne86 , Sw11_R-Sw12_R-Sw13_N ,  , 
R_76 , S122 , T21 , << , ne30-ne90 , Sw12_R-Sw13_R ,  , 
R_77 , B130 , C100 , >> , ne41-ne32 , Sw04_R-Sw05_RN , Plat04 , 
R_78 , B130 , S105 , >> , ne41-ne44 , Sw05_NN-Sw41_R , Plat04 , 
R_79 , S131 , P58 , << , ne85-ne41 , Sw05_NN , Plat04 , 
R_80 , S131 , T13 , << , ne85-ne84 , Sw05_NR ,  , 
R_81 , B133 , S86 , << , ne77-ne52 ,  ,  , 
R_82 , S135 , B133 , << , ne94-ne77 , Sw07_NR , Plat08 , 
R_83 , S135 , P72 , << , ne94-ne21 , Sw07_NN , Plat12 , 
R_84 , C138 , S105 , >> , ne110-ne44 , Sw41_N ,  , 
R_85 , S139 , S102 , << , ne100-ne110 , Sw41_N ,  , 
R_86 , S139 , S131 , << , ne100-ne85 , Sw41_R ,  , 
R_87 , B143 , L32 , << , ne104-ne70 ,  ,  , 
R_88 , S144 , B143 , << , ne21-ne104 ,  ,  , 
R_89 , B145 , L33 , >> , ne77-ne78 , Sw06_R-Sw07_RR ,  , 
R_90 , B145 , P69 , >> , ne77-ne99 , Sw07_NR , Plat10 , 
R_91 , S146 , B145 , >> , ne52-ne77 ,  , Plat08 , 
