Route , Signal_start , Signal_end , Direction , netElements , switch , platform , LevelCrossings
R_01 , T02 , S14 , >> , ne1-ne1 ,  ,  , 
R_02 , T04 , T01 , << , ne31-ne1 , Sw14_R-Sw18_R ,  , 
R_03 , T06 , T01 , << , ne32-ne1 , Sw14_N-Sw18_R ,  , 
R_04 , T08 , H20 , << , ne42-ne42 ,  ,  , 
R_05 , T10 , T07 , >> , ne43-ne42 , Sw19_N ,  , 
R_06 , S14 , B18 , >> , ne1-ne41 , Sw18_N ,  , 
R_07 , S14 , T03 , >> , ne1-ne31 , Sw14_R-Sw18_R ,  , 
R_08 , S14 , T05 , >> , ne1-ne32 , Sw14_N-Sw18_R ,  , 
R_09 , B18 , T07 , >> , ne41-ne42 , Sw19_R ,  , 
R_10 , H20 , T01 , << , ne42-ne1 , Sw18_N-Sw19_R ,  , 
R_11 , H20 , T09 , << , ne42-ne43 , Sw19_N ,  , 
