Route , Signal_start , Signal_end , Direction , netElements , switch , platform , LevelCrossings
R_01 , T02 , B26 , << , ne4-ne4 ,  ,  , 
R_02 , T04 , J18 , << , ne6-ne1 , Sw01_R-Sw03_R ,  , 
R_03 , T06 , J16 , << , ne10-ne5 , Sw05_R ,  , 
R_04 , T08 , S37 , << , ne41-ne41 ,  ,  , 
R_05 , T10 , T07 , >> , ne42-ne41 , Sw08_R ,  , 
R_06 , J14 , J16 , << , ne11-ne5 , Sw05_N ,  , 
R_07 , J16 , C21 , << , ne5-ne3 , Sw02_N ,  , 
R_08 , J19 , T07 , >> , ne7-ne41 , Sw08_N ,  , 
R_09 , J20 , C29 , << , ne7-ne7 ,  ,  , 
R_10 , C21 , J18 , << , ne3-ne1 , Sw01_N ,  , 
R_11 , S22 , S27 , >> , ne1-ne3 , Sw01_N ,  , 
R_12 , S22 , J19 , >> , ne1-ne7 , Sw01_R-Sw03_N ,  , 
R_13 , S22 , T03 , >> , ne1-ne6 , Sw01_R-Sw03_R ,  , 
R_14 , B26 , C21 , << , ne4-ne3 , Sw02_R ,  , 
R_15 , S27 , S33 , >> , ne3-ne5 , Sw02_N ,  , 
R_16 , S27 , T01 , >> , ne3-ne4 , Sw02_R ,  , 
R_17 , C29 , J18 , << , ne7-ne1 , Sw01_R-Sw03_N ,  , 
R_18 , S33 , T05 , >> , ne5-ne10 , Sw05_R ,  , 
R_19 , S33 , J13 , >> , ne5-ne11 , Sw05_N ,  , 
R_20 , B36 , T09 , << , ne42-ne42 ,  ,  , 
R_21 , S37 , J20 , << , ne41-ne7 , Sw08_N ,  , 
R_22 , S37 , B36 , << , ne41-ne42 , Sw08_R ,  , 
