Route , Signal_start , Signal_end , Direction , netElements , switch , platform , LevelCrossings
R_01 , T02 , L06 , >> , ne19-ne20 , Sw03_N ,  , 
R_02 , C13 , S18 , >> , ne14-ne16 , Sw01_N ,  , 
R_03 , B14 , S18 , >> , ne15-ne16 , Sw01_R ,  , 
R_04 , S15 , P09 , << , ne16-ne14 , Sw01_N , Plat01 , Lc01
R_05 , S15 , L04 , << , ne16-ne15 , Sw01_R ,  , Lc01
R_06 , C17 , S15 , << , ne18-ne16 , Sw02_N ,  , 
R_07 , S18 , P12 , >> , ne16-ne18 , Sw02_N , Plat02 , Lc01
R_08 , S18 , L06 , >> , ne16-ne20 , Sw02_R-Sw03_R ,  , Lc01
R_09 , S21 , S15 , << , ne20-ne16 , Sw02_R-Sw03_R ,  , 
R_10 , S21 , T01 , << , ne20-ne19 , Sw03_N ,  , 
